id,views,published_at,live_feature
Cyj_Zxqs_4Y,641083,2021-03-23T16:14:52+00:00,False
rW8jSXVsW2E,612917,2021-03-23T17:11:34+00:00,False
c6qXuCU-aAU,567833,2021-03-23T14:49:39+00:00,False
Q3KwglONT2I,475935,2021-03-24T00:11:34+00:00,False
QyMZFPXhWKc,419574,2021-03-23T22:11:34+00:00,False
spng8eOVa2E,378695,2021-03-24T00:11:34+00:00,False
jQ90FsWf9EE,353270,2021-03-24T10:53:01+00:00,False
VAYaSPwnC9w,347682,2021-03-23T18:11:34+00:00,False
1MzpafvvyXc,322166,2021-03-23T15:11:34+00:00,False
0CRgoVmPMaI,322007,2021-03-23T15:11:34+00:00,False
DTub_uviROM,318587,2021-03-23T15:11:34+00:00,False
On-Vv7u-R78,309186,2021-03-23T15:14:52+00:00,False
FHZ1wF_upDs,308641,2021-03-23T14:17:54+00:00,False
LePhT5HIrOQ,294747,2021-03-23T17:55:44+00:00,False
OyIlfg24-G0,291787,2021-03-23T17:55:44+00:00,False
ChlomED7A0Q,260663,2021-03-23T14:14:52+00:00,False
Q9GfIi_8cDQ,253791,2021-03-24T11:11:34+00:00,False
sHvNaAvI29o,232469,2021-03-23T15:53:01+00:00,False
0YPYA_PB_ZA,231920,2021-03-23T20:11:34+00:00,False
Kl0ieRnAHnE,218249,2021-03-24T10:11:34+00:00,False
Be9Ll91dc7s,205287,2021-03-23T22:11:34+00:00,False
or7-NEPUSFg,189018,2021-03-24T09:14:52+00:00,False
2a_ihNCAOqc,186109,2021-03-23T21:11:34+00:00,False
DDXm5rQ3Bho,180471,2021-03-24T03:49:39+00:00,False
UdXoFSKVPLI,175504,2021-03-23T18:14:52+00:00,False
WcKpYZBC69U,174656,2021-03-23T18:11:34+00:00,False
6ZkASNhq2kk,170041,2021-03-24T09:17:54+00:00,False
efXH3qg8BT4,160854,2021-03-23T14:52:28+00:00,False
dNUFYoLU0x0,148694,2021-03-23T22:53:01+00:00,False
Ssthkb8JNgk,143387,2021-03-23T19:11:34+00:00,False
327PnA8FrwM,143334,2021-03-24T12:11:34+00:00,False
k94IzKU43Wk,138768,2021-03-23T15:17:54+00:00,False
xuPqKCu9YGk,132689,2021-03-24T00:11:34+00:00,False
GuYS6C1Q6u4,128778,2021-03-23T19:11:34+00:00,False
pZ364CPozlE,128413,2021-03-23T16:02:25+00:00,False
Qyoeo1P1jNo,126749,2021-03-23T22:11:34+00:00,False
aBgsXwfGyHI,122885,2021-03-24T02:11:34+00:00,False
bFUYGBoFnSs,122583,2021-03-23T18:17:54+00:00,False
eY39dNRksiw,120904,2021-03-23T14:17:54+00:00,False
8xK8GnnsEhQ,119767,2021-03-23T15:53:01+00:00,False
ZeXKYjuiexk,119000,2021-03-23T15:53:01+00:00,False
Nt0CzoJpSpQ,118437,2021-03-23T15:02:25+00:00,False
u0cJvg1-KGk,116262,2021-03-23T17:17:47+00:00,False
ZG_u-PuhsNM,111707,2021-03-24T06:17:47+00:00,False
zhEfl4DqC3Y,111211,2021-03-24T00:17:47+00:00,False
TguIFRs1aBo,111069,2021-03-24T12:16:57+00:00,False
Eee2Hqe7WF8,108876,2021-03-24T12:53:01+00:00,False
Mau2CFZxn1Q,103241,2021-03-24T08:55:37+00:00,False
YNchZGTTsl0,100800,2021-03-24T03:55:37+00:00,False
KrKPt05Jsvk,95118,2021-03-24T09:53:01+00:00,False
klsFyLtWnZU,92361,2021-03-24T08:53:01+00:00,False
e1ZI5f7bbgo,91095,2021-03-23T17:01:55+00:00,False
NXmlWChacvg,91021,2021-03-24T07:53:01+00:00,False
nUHYdkbbgdQ,89539,2021-03-23T14:17:54+00:00,False
Zt9_j4a8pnY,86299,2021-03-23T14:55:37+00:00,False
